Order_Line_ID	Order_Number	Order_Line	Order_Type_Code	Revenue_Plant_Code	Material_Number	Material_Desc	Material_Class_Name	Custom_Platform	Material_Group_Code	MRP_Controller_Name	Primary_Site_Code	Incoterms_Code	NPI	Transit_Time_In_Days	Fiscal_Week_Label	Fiscal_Month_ID	Customer_Requested_Delivery_Date	Actual_GI_Date	Orig_Promised_Date	Planned_GI_Date	Standard_Leadtime_Date	Delivery_Header_Create_Date	SOFT_Target_Date	OTR_Target_Date	OTC_Target_Date	Late_To_SOFT_Flag	Late_To_OTR_Flag	Late_To_OTC_Flag	Ship_To_Customer_Identifier	Ship_To_Customer_Name	Ship_To_Country	Ship_To_Region_Code	Ultimate_Consignee_Sub_Region	Ship_To_City	Ship_To_Customer_Type	Sold_To_Customer_Identifier	Sold_To_Customer_Name	Channel_Partner_Indicator	Sold_To_Customer_Type	Net_Amount_USD	Schedule_Line_Quantity
2079355-430	2079355	430	ZOR	6100	20060060	ILMN DNA LP (M)Tag (24 Spl, IPB)	Consumables	Library Prep	411015	Monique Moore	6100	DAP	N	0	W18	202505	4/29/2025	4/29/2025	4/29/2025	4/29/2025	11/1/2024	4/28/2025	4/29/2025	4/29/2025	4/29/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	6000022122	Singapore General Hospital	NO	Clinical	11,590	8
2079355-450	2079355	450	ZOR	6100	15033411	MiSeq® Reagent Kit v2 (500 cycle)	Consumables	MiSeq	411015	Apurvaa Deb	6100	DAP	N	0	W18	202505	4/29/2025	4/29/2025	4/29/2025	4/29/2025	11/1/2024	4/28/2025	4/29/2025	4/29/2025	4/29/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	6000022122	Singapore General Hospital	NO	Clinical	13,792	8
2079355-680	2079355	680	ZOR	6100	20060060	ILMN DNA LP (M)Tag (24 Spl, IPB)	Consumables	Library Prep	411015	Monique Moore	6100	DAP	N	0	W14	202504	4/2/2025	4/2/2025	4/2/2025	4/2/2025	4/2/2025	3/31/2025	4/2/2025	4/2/2025	4/2/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	6000022122	Singapore General Hospital	NO	Clinical	11,590	8
2129001-610	2129001	610	ZOR	3320	20030770	INF GSA-24 v3.0 Kit (48 Spl)	Consumables	Other	411015	Pei Ling Lou	6100	DAP	N	1	W15	202504	4/8/2025	4/7/2025	4/7/2025	4/7/2025	9/26/2024	4/4/2025	4/7/2025	4/7/2025	4/7/2025	On-Time	On-Time	On-Time	6000011097	Labcorp-burlington	USA	AMR	AMR South	Burlington	Not Available	6000019969	LabCorp - Parent	NO	Clinical	14,129	10
2129001-630	2129001	630	ZOR	3320	20030770	INF GSA-24 v3.0 Kit (48 Spl)	Consumables	Other	411015	Pei Ling Lou	6100	DAP	N	1	W19	202505	5/6/2025	5/5/2025	5/5/2025	5/5/2025	9/26/2024	5/2/2025	5/5/2025	5/5/2025	5/5/2025	On-Time	On-Time	On-Time	6000011097	Labcorp-burlington	USA	AMR	AMR South	Burlington	Not Available	6000019969	LabCorp - Parent	NO	Clinical	14,129	10
2406188-10	2406188	10	ZOR	3340	20066469	Infinium GSACyto-24 v1.0 Kit (48 Spl)	Consumables	Other	411015	Pei Ling Lou	6100	DAP	N	2	W14	202504	4/2/2025	3/31/2025	3/31/2025	3/31/2025	4/12/2025	3/28/2025	4/14/2025	3/31/2025	3/31/2025	On-Time	On-Time	On-Time	6000022974	NHS Greater Glasgow and Clyde	United Kingdom	EUR	UK Ireland	Glasgow	Clinical	6000022974	NHS Greater Glasgow and Clyde	NO	Clinical	34,369	9
2406188-250	2406188	250	ZOR	3340	20066469	Infinium GSACyto-24 v1.0 Kit (48 Spl)	Consumables	Other	411015	Pei Ling Lou	6100	DAP	N	2	W14	202504	4/2/2025	3/31/2025	3/31/2025	3/31/2025	4/12/2025	3/28/2025	4/14/2025	3/31/2025	3/31/2025	On-Time	On-Time	On-Time	6000022974	NHS Greater Glasgow and Clyde	United Kingdom	EUR	UK Ireland	Glasgow	Clinical	6000022974	NHS Greater Glasgow and Clyde	NO	Clinical	19,094	5
2449881-400	2449881	400	ZOR	3320	20019105	AmpliSeq CD Indexes Set A (96Idx, 96Spl)	Consumables	Library Prep	411015	SBowman – AmpliSeq	3320	DAP	N	1	W16	202504	2/15/2025	4/17/2025		4/17/2025	2/21/2025	4/16/2025	2/21/2025	2/19/2025	4/17/2025	Late	Late	On-Time	4000040125	Genetics Institute of America Laboratory FL1 Corp	USA	AMR	AMR South	Delray Beach	Commercial	4000040125	Genetics Institute of America Laboratory FL1 Corp	NO	Commercial	2,531	1
2454952-110	2454952	110	ZOR	6580	20046813	NextSeq™1000/2000 P2 Reagents(300Cycles)	Consumables	NextSeq 1k/2k	411015	Nina Dedic	3300	DAP	N	3	W16	202504	4/18/2025	4/15/2025		4/15/2025	4/16/2025	4/14/2025	4/16/2025	4/15/2025	4/15/2025	On-Time	On-Time	On-Time	4000041914	Tianjin Zhengdaqiankun Biotechnology Co., LTD	China	CHINA	GCN	Tianjin	Channel Partner	4000041914	Tianjin Zhengdaqiankun Biotechnology Co., LTD	YES - Aggregator	Channel Partner	0	2
2474508-150	2474508	150	ZOR	6100	20091654	ILMN DNA/RNA UDI A Tag 96 Idx 96 Spl	Consumables	Library Prep	411015	Armida Diaz	3300	DAP	N	0	W18	202505	4/29/2025	4/29/2025	4/29/2025	4/29/2025	5/6/2025	4/28/2025	5/6/2025	4/29/2025	4/29/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	4000002963	Singapore General Hospital	NO	Clinical	1,240	2
2474508-170	2474508	170	ZOR	6100	15017872	PhiX CONTROL V3 KIT	Consumables	SQ Misc	411015	Armida Diaz	3300	DAP	N	0	W14	202504	4/2/2025	4/2/2025	4/2/2025	4/2/2025	4/2/2025	3/31/2025	4/2/2025	4/2/2025	4/2/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	4000002963	Singapore General Hospital	NO	Clinical	215	1
2474508-180	2474508	180	ZOR	6100	20091654	ILMN DNA/RNA UDI A Tag 96 Idx 96 Spl	Consumables	Library Prep	411015	Armida Diaz	3300	DAP	N	0	W14	202504	4/2/2025	4/2/2025	4/2/2025	4/2/2025	4/8/2025	3/31/2025	4/8/2025	4/2/2025	4/2/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	4000002963	Singapore General Hospital	NO	Clinical	1,240	2
2474508-190	2474508	190	ZOR	6100	15036523	MiSeq® Reagent Micro Kit v2 (300 Cycles)	Consumables	MiSeq	411015	Apurvaa Deb	6100	DAP	N	0	W14	202504	4/2/2025	4/2/2025	4/2/2025	4/2/2025	4/2/2025	3/31/2025	4/2/2025	4/2/2025	4/2/2025	On-Time	On-Time	On-Time	4000002963	Singapore General Hospital, Dept of Microbiology, Central TB Lab	Singapore	AMEA	Oceania SR	Singapore	Clinical	4000002963	Singapore General Hospital	NO	Clinical	6,894	8
2475982-250	2475982	250	ZFD	6100	20028312	NVSEQ 6000 S4 Rgt Kit v1.5 (300cyc)	Consumables	NovaSeq	411015	Juraj Krivda	6100	DPU	N	4	W18	202505	5/8/2025	5/2/2025	5/2/2025	5/2/2025	10/3/2024	4/28/2025	5/2/2025	5/4/2025	5/4/2025	On-Time	On-Time	On-Time	6000011229	Garvan Institute of Medical Research	Australia	AMEA	Oceania SR	Darlinghurst	Not Available	6000005719	Garvan Institute of Medical Research	NO	Academic	0	20
2495520-30	2495520	30	ZOR	3340	20007420	Infinium XT Assay PB20 Kit	Consumables	Other	411015	Pei Ling Lou	6100	DDP	N	1	W16	202504	4/15/2025	4/14/2025	4/14/2025	4/14/2025	4/24/2025	4/11/2025	4/24/2025	4/14/2025	4/14/2025	On-Time	On-Time	On-Time	6000021063	KWS SAAT SE & Co.KgaA	Germany	EUR	Germany	Einbeck	Commercial	6000021063	KWS SAAT SE & Co.KgaA	NO	Commercial	0	10
2550011-20	2550011	20	ZOR	6100	20077595	ILMN DNA EXM 2.5 Kit, S Tag B, 96 spl	Consumables	Library Prep	411015	Armida Diaz	3300	FCA	N	4	W15	202504	3/25/2025	4/11/2025	3/21/2025	3/27/2025	4/3/2025	3/26/2025	4/3/2025	3/26/2025	3/26/2025	On-Time	On-Time	Late	4000064053	Mohammed VI Polytechnic University	Morocco	AMEA	Africa SR	Ben Guerir	Channel Partner	4000064053	Mohammed VI Polytechnic University	YES - Other	Channel Partner	6,998	1
